,Latitude (deg),Longitude (deg),Population Estimate
78873,29.8532,-99.8133,2053.0
78942,30.1522,-96.9225,9033.0
78956,29.6844,-96.9348,5685.0
78005,29.0523,-98.8584,870.0
78013,29.9689,-98.8217,7312.0
78201,29.4728,-98.5356,48334.0
78202,29.4280,-98.4630,11453.0
78211,29.3495,-98.5636,32769.0
78230,29.5428,-98.5596,45021.0
78520,25.9676,-97.5475,62490.0
78401,27.7956,-97.3994,5265.0
78407,27.8116,-97.4369,2704.0
78516,26.1984,-98.1152,34990.0
78549,26.4370,-97.9655,1010.0
78552,26.1888,-97.7678,37948.0
78558,26.3125,-98.0335,1021.0
78559,26.1899,-97.8238,13255.0
78161,29.2680,-98.0734,651.0
78203,29.4153,-98.4611,6180.0
78210,29.3966,-98.4610,37683.0
78213,29.5202,-98.5282,44813.0
78222,29.3530,-98.3771,25227.0
78234,29.4623,-98.4414,4965.0
78250,29.5034,-98.6679,61669.0
78257,29.6760,-98.5761,7538.0
78338,26.8528,-97.7139,18.0
78343,27.6362,-97.7145,4526.0
78355,27.2093,-98.2610,7168.0
78380,27.8161,-97.7364,24300.0
78390,27.9995,-97.3654,5059.0
78402,27.8256,-97.4162,236.0
78405,27.7693,-97.4440,15059.0
78411,27.7300,-97.3858,25987.0
78418,27.6436,-97.2486,30312.0
78576,26.2794,-98.4468,10600.0
78578,26.0260,-97.2920,11772.0
78586,26.0950,-97.6381,56692.0
79835,31.9399,-106.5624,11184.0
79848,30.1221,-102.3984,823.0
79902,31.7861,-106.4960,20496.0
79904,31.8472,-106.4511,33428.0
79847,31.7559,-104.7633,153.0
79853,31.4467,-106.0692,2621.0
79908,31.9005,-106.2397,6422.0
79930,31.8131,-106.4671,28277.0
79003,35.6420,-100.0920,185.0
79009,34.4823,-102.7844,1754.0
79015,34.9030,-101.8975,21925.0
79019,34.9653,-101.3569,1871.0
79024,36.3907,-100.3612,380.0
79034,36.3672,-100.1787,535.0
79035,34.6367,-102.7842,5307.0
79056,36.2219,-100.2827,56.0
79064,34.1772,-102.2002,2495.0
79070,36.2784,-100.8159,9851.0
79078,35.7011,-101.5600,217.0
77485,29.6306,-96.0383,4627.0
77502,29.6783,-95.2034,38199.0
77547,29.7401,-95.2333,9925.0
77597,29.8595,-94.6881,986.0
77629,30.0015,-94.4190,786.0
77632,30.2032,-93.8064,22903.0
77642,29.9122,-93.9164,39202.0
77664,30.6310,-94.4309,2939.0
77701,30.0945,-94.0934,13480.0
77010,29.7537,-95.3596,890.0
77020,29.7731,-95.3163,26357.0
77021,29.6949,-95.3567,26214.0
77030,29.7084,-95.4019,11229.0
77037,29.9008,-95.3894,18966.0
77045,29.6411,-95.4262,36532.0
77082,29.7220,-95.6319,55056.0
77084,29.8326,-95.6482,107673.0
77301,30.3040,-95.4313,34169.0
77316,30.3118,-95.6745,26119.0
77318,30.4387,-95.5400,16303.0
77340,30.6267,-95.5864,31352.0
77346,29.9916,-95.1718,66805.0
77355,30.1601,-95.7287,29281.0
77373,30.0719,-95.3731,61501.0
77434,29.5598,-96.3285,4740.0
77446,30.0837,-95.9866,6520.0
77466,29.8098,-96.0076,511.0
77469,29.5503,-95.7182,53992.0
77336,30.0770,-95.1015,13156.0
77094,29.7481,-95.6853,10271.0
77096,29.6736,-95.4777,32682.0
77379,30.0385,-95.5326,81368.0
77386,30.1118,-95.3806,57421.0
77389,30.1265,-95.4950,38222.0
77437,29.1955,-96.2198,16913.0
77451,29.4472,-96.0035,53.0
77465,28.7093,-96.1471,7151.0
77479,29.5578,-95.6336,93848.0
77481,29.4686,-95.5775,35.0
77853,30.3709,-96.8161,1059.0
77651,29.9815,-93.9398,12782.0
77803,30.6767,-96.3852,32946.0
77830,30.5521,-96.0025,3101.0
77859,30.8362,-96.5870,6750.0
77864,30.9726,-95.8971,7562.0
77867,30.7664,-96.5786,106.0
77474,29.7741,-96.1854,12487.0
77488,29.2673,-96.1480,14525.0
77503,29.7054,-95.1531,24808.0
77510,29.3337,-95.1116,14485.0
77521,29.8029,-94.9710,60164.0
75839,31.6112,-95.5175,5927.0
75848,31.8231,-96.3217,137.0
75849,31.4064,-95.4720,67.0
75858,31.3833,-95.0619,0.0
75904,31.3234,-94.8060,34406.0
75932,30.9799,-93.6409,1743.0
75937,31.4038,-94.4194,891.0
75956,30.6960,-94.0061,8937.0
75973,31.7079,-93.9517,2828.0
75211,32.7365,-96.9057,77570.0
75449,33.4083,-95.9632,1374.0
75480,33.0220,-95.2174,1587.0
75459,33.5448,-96.6771,5156.0
75468,33.5625,-95.3935,939.0
75475,33.4891,-96.2644,148.0
